# Pixel Table for EFOSC2 grism: ef-gr13
# order = 5
# ref = air
# loc = 515
# fname = raw/EFOSC.2019-01-26T12:36:56.981.fits
#
# Pixel    Wavelength [Å]
   110.05    3888.65
   339.32    4471.48
   543.50    5015.68
   855.54    5875.62
  1140.16    6678.15
  1276.27    7065.19
  1475.61    7635.11
  1784.86    8521.44
  1994.69    9122.97
