# Pixel Table for EFOSC2 grism: ef-gr14
# order = 3
# ref = air
# loc = 515
# fname = raw/EFOSC.2022-01-26T19:42:42.087.fits
#
# Pixel    Wavelength [Å]
   147.52    3187.70
   879.04    3888.65
  1152.89    4158.59
  1193.88    4200.67
  1462.22    4471.48
  1697.42    4713.15
  1898.69    4921.93
  1988.59    5015.68
