# ref = air
3491.536   ThAr
3588.4407  ThAr
3719.4347  ThAr
3803.075   ThAr
4052.9208  ThAr
4071.9967  ThAr
4131.7235  ThAr
4158.5905  ThAr
4277.5282  ThAr
4348.064   ThAr
4481.8107  ThAr
4510.7332  ThAr
4545.0519  ThAr
4579.3495  ThAr
4589.8978  ThAr
4609.5673  ThAr
4657.9012  ThAr
4703.9898  ThAr
4764.8646  ThAr
4879.8635  ThAr
4965.0795  ThAr
5017.1628  ThAr
5187.7462  ThAr
5231.1597  ThAr
5343.5812  ThAr
5587.0263  ThAr
5760.5508  ThAr
6032.1274  ThAr
6182.6217  ThAr
6416.3071  ThAr
6457.2824  ThAr
6677.2817  ThAr
6752.8335  ThAr
6871.2891  ThAr
6911.2264  ThAr
6937.6642  ThAr
6965.4307  ThAr
7067.2181  ThAr
7272.9359  ThAr
7383.9805  ThAr
7635.106   ThAr
7948.1764  ThAr
8264.5225  ThAr
8521.4422  ThAr
8667.9442  ThAr
9122.9674  ThAr
9224.4992  ThAr
9354.2198  ThAr
9657.7863  ThAr
9784.5010  ThAr
10470.051  ThAr
