# ref = air
3888.646   HeI 
3948.979   ArI 
3964.729   HeI 
4044.420   ArI 
4158.590   ArI 
4200.674   ArI 
4300.101   ArI 
4333.561   ArI 
4471.479   HeI 
4510.733   ArI 
4713.146   HeI 
4921.931   ArII
5015.680   HeI 
5875.621   HeI 
6114.923   ArII
6172.278   ArII
6678.151   HeII
6752.833   ArI 
6871.289   ArI 
6965.430   ArI 
7030.25    ArI 
7065.190   HeI 
7147.04    ArI 
7272.93    ArI 
7383.980   ArI 
7503.869   ArI 
7514.65    ArI 
7635.106   ArI 
7723.984   ArI 
7948.176   ArI
8014.786   ArI
8115.311   ArI
8264.522   ArI
8408.210   ArI
8424.647   ArI
8521.442   ArI
8667.944   ArI
9122.967   ArI
9194.638   ArI
9224.499   ArI
9354.22    HeI
9657.78    HeI
9784.50    HeI
10830.30   HeI
