# Pixel Table for ALFOSC grism: grism19
# order = 4
#
# Pixel    Wavelength [Å]
    24.76    6931.39
   349.89    6508.33
   431.04    6404.02
   845.87    5877.25
  1541.39    5017.07
  1618.60    4923.31
  1993.47    4472.73
