# Pixel Table for ALFOSC grism: grism4
# Pixel    Wavelength [Å]
232.13   8774.11
339.98   8379.68
704.85   7034.36
802.49   6680.05
879.53   6404.02
1027.28   5877.25
1275.95   5017.10
1440.20   4472.76
1627.37   3889.80
