# QSO template of high luminosity quasars from Krawczyk et al. (2013)
#  lambda	f_lambda  error
# angstrom	arbitrary arbitrary
  59816.46   0.09  0.05
  62635.52   0.09  0.05
  65587.44   0.08  0.05
  68678.48   0.08  0.04
  71915.20   0.08  0.04
  75304.46   0.07  0.04
  78853.45   0.07  0.04
  82569.70   0.07  0.04
  86461.09   0.07  0.04
  90535.87   0.06  0.04
  94802.70   0.06  0.04
  99270.61   0.06  0.03
 103949.09   0.06  0.03
 108848.06   0.06  0.03
 113977.91   0.05  0.03
 119349.53   0.05  0.03
 124974.30   0.05  0.03
 130864.15   0.04  0.03
 137031.59   0.04  0.02
 143489.69   0.04  0.02
 150252.15   0.04  0.02
 157333.32   0.03  0.02
 164748.21   0.03  0.02
 172512.55   0.03  0.02
 180642.82   0.03  0.02
 189156.25   0.03  0.02
 198070.91   0.03  0.01
 207405.71   0.02  0.01
 217180.44   0.02  0.01
 227415.84   0.02  0.01
 238133.61   0.02  0.01
 249356.51   0.02  0.01
 261108.32   0.02  0.01
 273413.97   0.02  0.01
 286299.57   0.01  0.01
 299792.46   0.01  0.01
