# QSO template of all quasars from Krawczyk et al. (2013)
#  lambda	f_lambda  error
# angstrom	arbitrary arbitrary
  62635.52   0.09  0.11
  65587.44   0.09  0.11
  68678.48   0.08  0.10
  71915.20   0.08  0.10
  75304.46   0.08  0.10
  78853.45   0.07  0.09
  82569.70   0.07  0.09
  86461.09   0.07  0.08
  90535.87   0.06  0.08
  94802.70   0.06  0.08
  99270.61   0.06  0.07
 103949.09   0.05  0.07
 108848.06   0.05  0.07
 113977.91   0.05  0.06
 119349.53   0.05  0.06
 124974.30   0.04  0.05
 130864.15   0.04  0.05
 137031.59   0.04  0.05
 143489.69   0.04  0.05
 150252.15   0.04  0.04
 157333.32   0.03  0.04
 164748.21   0.03  0.04
 172512.55   0.03  0.04
 180642.82   0.03  0.03
 189156.25   0.03  0.03
 198070.91   0.02  0.03
 207405.71   0.02  0.03
 217180.44   0.02  0.03
 227415.84   0.02  0.02
 238133.61   0.02  0.02
 249356.51   0.02  0.02
 261108.32   0.02  0.02
 273413.97   0.01  0.02
 286299.57   0.01  0.02
 299792.46   0.01  0.02
