Title: Low Resolution Spectral Templates for AGNs and Galaxies 
       from 0.03 - 30 microns 
Authors: Assef R.J., Kochanek C.S., Brodwin M., Cool R., Forman W., 
         Gonzalez A.H., Hickox R.C., Jones C., Le Floch E., Moustakas J., 
         Murray S.S., Stern D. 
Table: SED Templates
================================================================================
Byte-by-byte Description of file: apj332219t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units         Label Explanations
--------------------------------------------------------------------------------
   1-  7 F7.4   um            Wave  Wavlength (1)
   9- 16 F8.4   10-11mW/m2/Hz AGN   Standard AGN template; 10^-11 erg/s/cm^2/Hz
  18- 26 F9.4   10-14mW/m2/Hz AGN2  AGN 2 template; 10^-14 erg/s/cm^2/Hz (2)
  28- 37 F10.4  10-16mW/m2/Hz E     E galaxy template; 10^-16 erg/s/cm^2/Hz
  39- 50 F12.4  10-17mW/m2/Hz Sbc   Sbc galaxy template; 10^-17 erg/s/cm^2/Hz
  52- 61 F10.4  10-15mW/m2/Hz Im    Im galaxy template; 10^-15 erg/s/cm^2/Hz
--------------------------------------------------------------------------------
Note (1): All templates are normalized to be at a distance of 10 pc and to 
          have an integrated luminosity between the wavelength boundaries of 
          10^10 L_sun_.
Note (2): Derived by using the Richards et al. (2006) SED as a starting point.
--------------------------------------------------------------------------------
 0.1420   0.8539   85.7858     9.7499     966.0646   662.8135 
 0.1453   0.8628   86.4238    10.3386    1056.6459   703.3691 
 0.1486   0.9230   86.6610    10.2644    1055.9684   684.7186 
 0.1521   1.0020   86.9598    10.6386     970.2276   703.0487 
 0.1557   0.9722   87.2578    11.1148     929.7239   721.7753 
 0.1593   0.8801   87.5073    11.6169    1100.8995   740.8760 
 0.1630   0.8423   87.6922    12.1486    1153.5083   760.6054 
 0.1668   0.8364   87.8364    12.7129    1238.3172   781.8967 
 0.1707   0.8332   87.9836    13.3532    1262.2999   805.2169 
 0.1746   0.8299   88.1492    14.1674    1324.5827   830.3032 
 0.1787   0.8259   88.2760    15.0534    1414.3922   858.1530 
 0.1829   0.8210   88.3538    16.3175    1584.6839   885.0505 
 0.1871   0.8156   88.4121    17.8320    1722.9961   912.7372 
 0.1915   0.8100   88.5003    19.7908    1862.3795   940.8105 
 0.1960   0.8041   88.5719    22.5128    1994.3972   967.0910 
 0.2005   0.7978   88.1141    25.4457    2132.4661   994.3157 
 0.2052   0.7919   87.2198    28.6111    2269.8084  1019.6445 
 0.2100   0.7868   86.9826    31.9574    2415.1782  1045.7940 
 0.2149   0.7828   87.4453    35.2097    2576.2623  1072.1813 
 0.2199   0.7811   88.7000    38.2989    2750.2168  1099.2483 
 0.2250   0.7821   90.8332    39.2220    2954.4576  1126.8286 
 0.2302   0.7858   92.8472    39.5900    3174.0012  1154.3850 
 0.2356   0.7917   94.7221    39.2148    3409.2236  1180.5434 
 0.2411   0.7992   97.4746    39.8523    3659.2190  1205.4535 
 0.2467   0.8079  101.0586    44.1494    3932.8991  1228.5313 
 0.2524   0.8176  104.8976    51.9540    4219.3432  1250.4725 
 0.2583   0.8310  108.8311    64.9383    4517.0488  1271.5484 
 0.2643   0.8798  112.7075    93.1801    4814.4530  1292.6798 
 0.2705   1.0273  116.3635   131.2444    5109.9133  1314.2501 
 0.2768   1.1396  118.8741   176.0613    5410.0708  1338.2350 
 0.2832   1.0392  120.1509   236.3057    5727.2976  1364.0545 
 0.2898   0.8986  120.8482   313.3435    6066.5410  1392.4072 
 0.2966   0.8594  121.0455   401.7802    6460.3660  1425.8546 
 0.3035   0.8519  120.3065   467.7953    6902.7461  1464.7883 
 0.3106   0.8443  118.8607   561.9552    7432.9030  1511.4657 
 0.3178   0.8345  117.4939   801.3283    8079.8607  1566.8362 
 0.3252   0.8232  116.2936   921.8952    8891.8671  1632.1708 
 0.3328   0.8108  114.5691  1001.7204    9902.2354  1710.6493 
